,decoded,encoded
0,62,20490
1,31,5455
2,8,510
3,3,135
4,52,14590
5,2,90
6,54,15690
7,48,12510
8,6,330
9,8,510
10,72,27390
11,64,21790
12,58,18010
13,0,30
14,50,13530
15,92,44190
16,87,39615
17,69,25215
18,66,23130
19,60,19230
20,35,6855
21,27,4215
22,10,730
23,38,8010
24,53,15135
25,60,19230
26,24,3390
27,30,5130
28,84,36990
29,12,990
30,92,44190
31,19,2215
32,80,33630
33,8,510
34,37,7615
35,65,22455
36,9,615
37,46,11530
38,39,8415
39,4,190
40,41,9255
41,60,19230
42,93,45135
43,47,12015
44,14,1290
45,62,20490
46,96,48030
47,77,31215
48,79,32815
49,75,29655
50,0,30
51,86,38730
52,81,34455
53,31,5455
54,14,1290
55,52,14590
56,41,9255
57,20,2430
58,73,28135
59,40,8830
60,24,3390
61,13,1135
62,94,46090
63,92,44190
64,21,2655
65,32,5790
66,26,3930
67,6,330
68,42,9690
69,74,28890
70,96,48030
71,50,13530
72,3,135
73,67,23815
74,34,6490
75,29,4815
76,23,3135
77,63,21135
78,4,190
79,3,135
80,61,19855
81,71,26655
82,2,90
83,7,415
84,45,11055
85,80,33630
86,15,1455
87,89,41415
88,94,46090
89,38,8010
90,71,26655
91,62,20490
92,86,38730
93,64,21790
94,59,18615
95,79,32815
96,34,6490
97,43,10135
98,73,28135
99,64,21790
100,100,52030
101,10,730
102,6,330
103,86,38730
104,87,39615
105,5,255
106,78,32010
107,91,43255
108,50,13530
109,98,50010
110,50,13530
111,66,23130
112,0,30
113,11,855
114,62,20490
115,4,190
116,71,26655
117,44,10590
118,34,6490
119,93,45135
120,82,35290
121,79,32815
122,16,1630
123,24,3390
124,99,51015
125,82,35290
126,40,8830
127,54,15690
128,32,5790
129,20,2430
130,82,35290
131,38,8010
132,10,730
133,35,6855
134,14,1290
135,60,19230
136,40,8830
137,92,44190
138,67,23815
139,48,12510
140,50,13530
141,49,13015
142,83,36135
143,7,415
144,34,6490
145,41,9255
146,6,330
147,72,27390
148,46,11530
149,41,9255
150,25,3655
151,68,24510
152,30,5130
153,16,1630
154,42,9690
155,57,17415
156,57,17415
157,56,16830
158,95,47055
159,94,46090
160,77,31215
161,90,42330
162,48,12510
163,84,36990
164,22,2890
165,29,4815
166,46,11530
167,82,35290
168,54,15690
169,95,47055
170,50,13530
171,5,255
172,8,510
173,37,7615
174,89,41415
175,83,36135
176,11,855
177,98,50010
178,31,5455
179,13,1135
180,27,4215
181,31,5455
182,94,46090
183,65,22455
184,47,12015
185,3,135
186,19,2215
187,49,13015
188,26,3930
189,34,6490
190,75,29655
191,8,510
192,8,510
193,98,50010
194,8,510
195,72,27390
196,7,415
197,70,25930
198,0,30
199,55,16255
200,74,28890
201,78,32010
202,16,1630
203,99,51015
204,45,11055
205,94,46090
206,51,14055
207,9,615
208,77,31215
209,18,2010
210,75,29655
211,45,11055
212,31,5455
213,98,50010
214,89,41415
215,86,38730
216,39,8415
217,70,25930
218,28,4510
219,23,3135
220,79,32815
221,4,190
222,76,30430
223,28,4510
224,72,27390
225,94,46090
226,28,4510
227,23,3135
228,98,50010
229,82,35290
230,49,13015
231,40,8830
232,24,3390
233,76,30430
234,17,1815
235,29,4815
236,45,11055
237,49,13015
238,81,34455
239,98,50010
240,65,22455
241,79,32815
242,51,14055
243,39,8415
244,51,14055
245,70,25930
246,42,9690
247,89,41415
248,65,22455
249,88,40510
250,82,35290
251,45,11055
252,30,5130
253,72,27390
254,48,12510
255,7,415
256,58,18010
257,58,18010
258,46,11530
259,90,42330
260,66,23130
261,31,5455
262,54,15690
263,49,13015
264,92,44190
265,42,9690
266,75,29655
267,66,23130
268,54,15690
269,7,415
270,92,44190
271,52,14590
272,43,10135
273,46,11530
274,39,8415
275,74,28890
276,78,32010
277,79,32815
278,12,990
279,61,19855
280,99,51015
281,17,1815
282,92,44190
283,12,990
284,81,34455
285,45,11055
286,51,14055
287,60,19230
288,4,190
289,20,2430
290,80,33630
291,19,2215
292,54,15690
293,66,23130
294,87,39615
295,56,16830
296,5,255
297,89,41415
298,97,49015
299,11,855
300,67,23815
301,80,33630
302,49,13015
303,38,8010
304,85,37855
305,54,15690
306,57,17415
307,15,1455
308,55,16255
309,32,5790
310,69,25215
311,16,1630
312,8,510
313,76,30430
314,75,29655
315,37,7615
316,6,330
317,79,32815
318,41,9255
319,11,855
320,90,42330
321,53,15135
322,36,7230
323,36,7230
324,42,9690
325,73,28135
326,24,3390
327,30,5130
328,1,55
329,60,19230
330,14,1290
331,73,28135
332,44,10590
333,46,11530
334,30,5130
335,99,51015
336,19,2215
337,78,32010
338,78,32010
339,46,11530
340,77,31215
341,87,39615
342,95,47055
343,31,5455
344,30,5130
345,46,11530
346,8,510
347,45,11055
348,82,35290
349,43,10135
350,31,5455
351,80,33630
352,91,43255
353,12,990
354,98,50010
355,24,3390
356,60,19230
357,26,3930
358,18,2010
359,25,3655
360,59,18615
361,11,855
362,3,135
363,32,5790
364,83,36135
365,80,33630
366,36,7230
367,17,1815
368,61,19855
369,5,255
370,86,38730
371,41,9255
372,20,2430
373,1,55
374,84,36990
375,45,11055
376,45,11055
377,33,6135
378,40,8830
379,27,4215
380,40,8830
381,45,11055
382,34,6490
383,14,1290
384,62,20490
385,36,7230
386,24,3390
387,83,36135
388,6,330
389,43,10135
390,69,25215
391,18,2010
392,75,29655
393,89,41415
394,38,8010
395,42,9690
396,48,12510
397,52,14590
398,5,255
399,36,7230
400,41,9255
401,64,21790
402,2,90
403,23,3135
404,38,8010
405,43,10135
406,46,11530
407,53,15135
408,28,4510
409,40,8830
410,56,16830
411,98,50010
412,38,8010
413,96,48030
414,94,46090
415,98,50010
416,69,25215
417,7,415
418,10,730
419,28,4510
420,87,39615
421,92,44190
422,7,415
423,60,19230
424,97,49015
425,92,44190
426,37,7615
427,17,1815
428,19,2215
429,47,12015
430,70,25930
431,92,44190
432,49,13015
433,39,8415
434,66,23130
435,24,3390
436,8,510
437,91,43255
438,38,8010
439,21,2655
440,49,13015
441,20,2430
442,79,32815
443,79,32815
444,89,41415
445,100,52030
446,32,5790
447,15,1455
448,94,46090
449,22,2890
450,25,3655
451,12,990
452,35,6855
453,58,18010
454,14,1290
455,65,22455
456,37,7615
457,43,10135
458,10,730
459,50,13530
460,73,28135
461,53,15135
462,0,30
463,40,8830
464,87,39615
465,62,20490
466,41,9255
467,40,8830
468,3,135
469,64,21790
470,88,40510
471,49,13015
472,92,44190
473,72,27390
474,28,4510
475,58,18010
476,50,13530
477,77,31215
478,42,9690
479,75,29655
480,25,3655
481,59,18615
482,59,18615
483,94,46090
484,94,46090
485,60,19230
486,74,28890
487,14,1290
488,44,10590
489,17,1815
490,11,855
491,51,14055
492,48,12510
493,8,510
494,23,3135
495,86,38730
496,47,12015
497,11,855
498,17,1815
499,64,21790
500,45,11055
501,66,23130
502,39,8415
503,54,15690
504,27,4215
505,50,13530
506,100,52030
507,61,19855
508,91,43255
509,42,9690
510,92,44190
511,87,39615
512,33,6135
513,27,4215
514,86,38730
515,91,43255
516,58,18010
517,99,51015
518,89,41415
519,24,3390
520,63,21135
521,61,19855
522,18,2010
523,61,19855
524,62,20490
525,37,7615
526,43,10135
527,88,40510
528,48,12510
529,61,19855
530,23,3135
531,100,52030
532,24,3390
533,84,36990
534,38,8010
535,29,4815
536,10,730
537,86,38730
538,18,2010
539,66,23130
